order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2024-05-10,2024,Q2,5,May,Latin America,Brazil,Electronics,Accessories,Corporate,2,466,932.0,526.04,405.96,0.4356
2024-12-31,2024,Q4,12,December,Asia Pacific,Australia,Furniture,Chairs,Corporate,5,525,2625.0,1648.09,976.91,0.3722
2024-11-10,2024,Q4,11,November,Latin America,Brazil,Electronics,Accessories,Home Office,3,156,468.0,320.18,147.82,0.3159
2022-05-02,2022,Q2,5,May,Latin America,Brazil,Office Supplies,Pens,Consumer,5,425,2125.0,1488.07,636.93,0.2997
2023-04-12,2023,Q2,4,April,Asia Pacific,Japan,Clothing,Shirts,Consumer,3,953,2859.0,1716.47,1142.53,0.3996
2022-11-27,2022,Q4,11,November,North America,Canada,Clothing,Shoes,Consumer,1,988,988.0,699.3,288.7,0.2922
2022-03-29,2022,Q1,3,March,Europe,Germany,Electronics,Laptops,Consumer,2,781,1562.0,1057.89,504.11,0.3227
2024-05-21,2024,Q2,5,May,Europe,Italy,Electronics,Phones,Home Office,2,588,1176.0,787.96,388.04,0.33
2022-05-11,2022,Q2,5,May,Asia Pacific,China,Electronics,Phones,Corporate,3,598,1794.0,1253.84,540.16,0.3011
2024-02-09,2024,Q1,2,February,North America,Canada,Clothing,Shoes,Consumer,2,250,500.0,340.51,159.49,0.319
2022-12-10,2022,Q4,12,December,North America,USA,Furniture,Tables,Consumer,5,263,1315.0,723.33,591.67,0.4499
2024-03-16,2024,Q1,3,March,Europe,Albania,Clothing,Shirts,Consumer,2,305,610.0,465.02,144.98,0.2377
2023-01-21,2023,Q1,1,January,North America,Canada,Furniture,Chairs,Corporate,2,652,1304.0,746.11,557.89,0.4278
2024-08-13,2024,Q3,8,August,Asia Pacific,Australia,Office Supplies,Paper,Corporate,2,941,1882.0,1361.34,520.66,0.2767
2022-10-04,2022,Q4,10,October,Asia Pacific,Australia,Furniture,Desks,Home Office,4,987,3948.0,2183.0,1765.0,0.4471
2023-04-05,2023,Q2,4,April,North America,Canada,Electronics,Phones,Corporate,3,73,219.0,152.93,66.07,0.3017
2022-01-22,2022,Q1,1,January,Asia Pacific,Japan,Furniture,Desks,Corporate,1,819,819.0,629.57,189.43,0.2313
2022-09-10,2022,Q3,9,September,Latin America,Brazil,Furniture,Tables,Consumer,1,809,809.0,406.86,402.14,0.4971
2024-01-18,2024,Q1,1,January,Europe,Italy,Clothing,Shoes,Corporate,4,411,1644.0,1305.18,338.82,0.2061
2024-05-06,2024,Q2,5,May,Asia Pacific,Japan,Electronics,Phones,Consumer,4,896,3584.0,1823.91,1760.09,0.4911
2023-04-20,2023,Q2,4,April,North America,Canada,Office Supplies,Paper,Home Office,1,597,597.0,300.54,296.46,0.4966
2024-12-18,2024,Q4,12,December,Europe,Albania,Furniture,Tables,Consumer,5,289,1445.0,1094.25,350.75,0.2427
2023-05-26,2023,Q2,5,May,Asia Pacific,Australia,Office Supplies,Binders,Home Office,1,408,408.0,290.75,117.25,0.2874
2023-12-01,2023,Q4,12,December,Europe,Albania,Electronics,Laptops,Corporate,1,32,32.0,17.02,14.98,0.4683
2024-09-02,2024,Q3,9,September,North America,USA,Furniture,Tables,Home Office,3,362,1086.0,848.41,237.59,0.2188
